Datetime,Cloud Index_95 (-)
2024-08-06 05:20:00,0.0
2024-08-06 05:40:00,0.0
2024-08-06 05:50:00,0.0
2024-08-06 06:00:00,0.0
2024-08-06 06:20:00,0.0
2024-08-06 06:50:00,0.0
2024-08-06 07:00:00,0.0
2024-08-06 07:10:00,0.0
2024-08-06 07:20:00,0.0
2024-08-06 07:40:00,0.0
2024-08-06 08:10:00,0.0
2024-08-06 08:20:00,0.0
2024-08-06 08:30:00,0.0
2024-08-06 08:40:00,0.0
2024-08-06 08:50:00,0.0
2024-08-06 09:10:00,0.0
2024-08-06 09:20:00,0.0
2024-08-06 09:30:00,0.0
2024-08-06 09:40:00,0.0
2024-08-06 09:50:00,0.0
2024-08-06 10:20:00,0.0
2024-08-06 10:30:00,0.0
2024-08-06 10:50:00,0.0
2024-08-06 11:00:00,0.0
2024-08-06 11:40:00,0.007843137
2024-08-06 11:50:00,0.003921569
2024-08-06 12:00:00,0.003921569
2024-08-06 12:10:00,0.003921569
2024-08-06 12:20:00,0.003921569
2024-08-06 12:30:00,0.0
2024-08-06 13:10:00,0.48627451
2024-08-06 13:20:00,0.435294118
2024-08-06 13:40:00,0.454901961
2024-08-06 14:00:00,0.501960784
2024-08-06 14:10:00,0.509803922
2024-08-06 14:30:00,0.403921569
2024-08-06 14:50:00,0.478431373
2024-08-06 15:00:00,0.494117647
2024-08-06 15:10:00,0.0
2024-08-06 15:20:00,0.278431372
2024-08-06 15:40:00,0.396078431
2024-08-06 16:00:00,0.376470588
2024-08-06 16:20:00,0.262745098
2024-08-06 16:30:00,0.278431372
2024-08-06 16:50:00,0.270588235
2024-08-06 17:00:00,0.266666667
2024-08-06 17:10:00,0.262745098
2024-08-06 17:30:00,0.266666667
2024-08-06 17:40:00,0.305882353
2024-08-06 17:50:00,0.301960784
2024-08-06 18:00:00,0.278431372
2024-08-06 18:10:00,0.298039216
2024-08-06 18:20:00,0.482352941
2024-08-06 18:30:00,0.4
2024-08-06 18:40:00,0.411764706
2024-08-06 18:50:00,0.301960784
2024-08-06 19:20:00,0.415686275
2024-08-06 19:50:00,0.305882353
2024-08-06 20:40:00,0.670588235
2024-08-06 20:50:00,0.674509804
2024-08-06 21:10:00,0.474509804
2024-08-06 21:20:00,0.298039216
2024-08-06 21:30:00,0.337254902
2024-08-06 21:40:00,0.380392157
2024-08-06 21:50:00,0.376470588
2024-08-06 22:00:00,0.419607843
2024-08-06 22:20:00,0.411764706
2024-08-06 22:30:00,0.474509804
2024-08-06 22:50:00,0.717647059
2024-08-06 23:00:00,0.780392157
2024-08-06 23:20:00,0.745098039
2024-08-06 23:30:00,0.694117647
2024-08-06 23:40:00,0.643137255
2024-08-06 23:50:00,0.619607843
2024-08-07 00:00:00,0.639215686
2024-08-07 00:10:00,0.556862745
2024-08-07 00:30:00,0.639215686
2024-08-07 00:40:00,0.603921569
2024-08-07 00:50:00,0.576470588
2024-08-07 01:00:00,0.717647059
2024-08-07 01:10:00,0.603921569
2024-08-07 01:20:00,0.462745098
2024-08-07 01:30:00,0.37254902
2024-08-07 01:40:00,0.247058823
